Position,Track Name,Artist,Streams,URL
171,Merry Christmas Everyone,Shakin' Stevens,795325,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE
172,SOS (feat. Aloe Blacc),Avicii,791272,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
173,I.F.L.Y.,Bazzi,789728,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
174,Blanco,J Balvin,786953,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
175,Bellaquita - Remix,Dalex,779402,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
176,Otro Trago,Sech,776647,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
177,2002,Anne-Marie,774665,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
178,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,774318,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
179,God's Plan,Drake,773685,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
180,boyfriend (with Social House),Ariana Grande,772463,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
181,Old Town Road,Lil Nas X,771584,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
182,Lover,Taylor Swift,770332,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
183,Saint-Tropez,Post Malone,768684,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
184,Jocelyn Flores,XXXTENTACION,767647,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
185,Sleigh Ride,The Ronettes,766803,https://open.spotify.com/track/1ODZGydlown4VesUP8HLJX
186,MIA (feat. Drake),Bad Bunny,765340,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
187,One Thing Right,Marshmello,763489,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
188,Boy With Luv (feat. Halsey),BTS,762667,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
189,If The World Was Ending (feat. Julia Michaels),JP Saxe,762083,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
190,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,760076,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
191,Enemies (feat. DaBaby),Post Malone,757346,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
192,Pa MÃ_ - Remix,Dalex,755391,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
193,All of Me,John Legend,754673,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
194,Don't Stop Me Now - Remastered,Queen,754574,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
195,EARFQUAKE,"Tyler, The Creator",754030,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
196,Moonlight,XXXTENTACION,753157,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
197,Der Bratan bleibt der gleiche,Capital Bra,752343,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
198,Post Malone (feat. RANI),Sam Feldt,749277,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
199,Something Just Like This,The Chainsmokers,744921,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
200,Hollywood's Bleeding,Post Malone,742495,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
