name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Bad Decisions,Dangerous Woman,Ariana Grande,2016-05-20,3.77,1,0.6990000000000001,0.0144,0.6990000000000001,0.649,0.0,0.266,-5.351,0.0433,131.957,4,2016,True
Touch It,Dangerous Woman,Ariana Grande,2016-05-20,4.33,2,0.287,0.0338,0.287,0.7,0.0,0.18,-4.3260000000000005,0.0499,202.317,4,2016,True
Knew Better / Forever Boy,Dangerous Woman,Ariana Grande,2016-05-20,4.99,1,0.478,0.213,0.478,0.4,2.83e-06,0.098,-6.669,0.0698,106.51700000000001,4,2016,True
Thinking Bout You,Dangerous Woman,Ariana Grande,2016-05-20,3.34,3,0.51,0.0144,0.51,0.69,0.000276,0.10800000000000001,-5.9910000000000005,0.0711,103.025,4,2016,True
Intro,My Everything (Deluxe),Ariana Grande,2014-08-22,1.33,1,0.447,0.9690000000000001,0.447,0.182,3.8299999999999996e-05,0.327,-12.439,0.0324,89.814,4,2014,True
Why Try,My Everything (Deluxe),Ariana Grande,2014-08-22,3.53,1,0.44299999999999995,0.0494,0.44299999999999995,0.6629999999999999,0.0,0.153,-5.946000000000001,0.0432,159.856,4,2014,True
Be My Baby,My Everything (Deluxe),Ariana Grande,2014-08-22,3.62,1,0.622,0.0735,0.622,0.586,7.41e-06,0.0803,-6.2410000000000005,0.0356,145.08,4,2014,True
Break Your Heart Right Back,My Everything (Deluxe),Ariana Grande,2014-08-22,4.22,1,0.726,0.0113,0.726,0.605,0.0,0.0639,-5.672999999999999,0.0628,93.93,4,2014,True
Hands On Me,My Everything (Deluxe),Ariana Grande,2014-08-22,3.2,0,0.662,0.214,0.662,0.7659999999999999,0.0,0.324,-5.694,0.0377,97.959,4,2014,True
My Everything,My Everything (Deluxe),Ariana Grande,2014-08-22,2.81,2,0.54,0.88,0.54,0.265,0.0,0.131,-5.307,0.0297,61.975,4,2014,True
Only 1,My Everything (Deluxe),Ariana Grande,2014-08-22,3.23,0,0.6559999999999999,0.5,0.6559999999999999,0.8420000000000001,0.0,0.0787,-5.7139999999999995,0.24,101.36399999999999,4,2014,True
You Don't Know Me,My Everything (Deluxe),Ariana Grande,2014-08-22,3.9,0,0.381,0.0453,0.381,0.631,0.0,0.129,-5.886,0.262,170.187,4,2014,True
Right There,Yours Truly,Ariana Grande,2013-01-01,4.12,59,0.621,0.127,0.621,0.8340000000000001,0.0,0.0854,-3.1660000000000004,0.105,156.095,4,2013,True
